Book Title,Price,Availability,Rating,Image URL,Book Link,Category,BookTitle_Cleaned,Price_Normalized,Category_Encoded
It's Only the Himalayas,45.17,1,2,https://books.toscrape.com/media/cache/27/a5/27a53d0bb95bdd88288eaf66c9230d7e.jpg,https://books.toscrape.com/catalogue/its-only-the-himalayas_981/index.html,Travel,It's Only the Himalayas,0.7304474354310658,48.0
Full Moon over Noah’s Ark: An Odyssey to Mount Ararat and Beyond,49.43,1,4,https://books.toscrape.com/media/cache/57/77/57770cac1628f4407636635f4b85e88c.jpg,https://books.toscrape.com/catalogue/full-moon-over-noahs-ark-an-odyssey-to-mount-ararat-and-beyond_811/index.html,Travel,Full Moon over Noah’s Ark: An Odyssey to Mount Ararat and Beyond,0.8079301564205166,48.0
See America: A Celebration of Our National Parks & Treasured Sites,48.87,1,3,https://books.toscrape.com/media/cache/9a/7e/9a7e63f12829df4b43b31d110bf3dc2e.jpg,https://books.toscrape.com/catalogue/see-america-a-celebration-of-our-national-parks-treasured-sites_732/index.html,Travel,See America: A Celebration of Our National Parks & Treasured Sites,0.7977446344125135,48.0
Vagabonding: An Uncommon Guide to the Art of Long-Term World Travel,36.94,1,2,https://books.toscrape.com/media/cache/d5/bf/d5bf0090470b0b8ea46d9c166f7895aa.jpg,https://books.toscrape.com/catalogue/vagabonding-an-uncommon-guide-to-the-art-of-long-term-world-travel_552/index.html,Travel,Vagabonding: An Uncommon Guide to the Art of Long-Term World Travel,0.5807566387777373,48.0
Under the Tuscan Sun,37.33,1,3,https://books.toscrape.com/media/cache/98/c2/98c2e95c5fd1a4e7cd5f2b63c52826cb.jpg,https://books.toscrape.com/catalogue/under-the-tuscan-sun_504/index.html,Travel,Under the Tuscan Sun,0.5878501273190251,48.0
A Summer In Europe,44.34,1,2,https://books.toscrape.com/media/cache/4e/15/4e15150388702ebca2c5a523ac270539.jpg,https://books.toscrape.com/catalogue/a-summer-in-europe_458/index.html,Travel,A Summer In Europe,0.715351036740633,48.0
The Great Railway Bazaar,30.54,1,1,https://books.toscrape.com/media/cache/76/de/76de41867f323d7f1f4fbe2fdfc1b2ba.jpg,https://books.toscrape.com/catalogue/the-great-railway-bazaar_446/index.html,Travel,The Great Railway Bazaar,0.4643506729719898,48.0
A Year in Provence (Provence #1),56.88,1,4,https://books.toscrape.com/media/cache/db/46/db46159b05faa5d95262112bf9c29ddd.jpg,https://books.toscrape.com/catalogue/a-year-in-provence-provence-1_421/index.html,Travel,A Year in Provence (Provence #1),0.9434339759912695,48.0
The Road to Little Dribbling: Adventures of an American in Britain (Notes From a Small Island #2),23.21,1,1,https://books.toscrape.com/media/cache/e0/4f/e04f8eda2a2fa947aec17640202d9ab0.jpg,https://books.toscrape.com/catalogue/the-road-to-little-dribbling-adventures-of-an-american-in-britain-notes-from-a-small-island-2_277/index.html,Travel,The Road to Little Dribbling: Adventures of an American in Britain (Notes From a Small Island #2),0.33102946526009464,48.0
Neither Here nor There: Travels in Europe,38.95,1,3,https://books.toscrape.com/media/cache/06/81/0681530a7bc301caf5c3257e1b0f0750.jpg,https://books.toscrape.com/catalogue/neither-here-nor-there-travels-in-europe_198/index.html,Travel,Neither Here nor There: Travels in Europe,0.617315387413605,48.0
"1,000 Places to See Before You Die",26.08,1,5,https://books.toscrape.com/media/cache/d7/0f/d70f7edd92705c45a82118c3ff6c299d.jpg,https://books.toscrape.com/catalogue/1000-places-to-see-before-you-die_1/index.html,Travel,"1,000 Places to See Before You Die",0.38323026555110945,48.0
Sharp Objects,47.82,1,4,https://books.toscrape.com/media/cache/32/51/3251cf3a3412f53f339e42cac2134093.jpg,https://books.toscrape.com/catalogue/sharp-objects_997/index.html,Mystery,Sharp Objects,0.7786467806475081,26.0
"In a Dark, Dark Wood",19.63,1,1,https://books.toscrape.com/media/cache/23/85/238570a1c284e730dbc737a7e631ae2b.jpg,https://books.toscrape.com/catalogue/in-a-dark-dark-wood_963/index.html,Mystery,"In a Dark, Dark Wood",0.26591487813750453,26.0
The Past Never Ends,56.5,1,4,https://books.toscrape.com/media/cache/89/b8/89b850edb01851a91f64ba114b96acb6.jpg,https://books.toscrape.com/catalogue/the-past-never-ends_942/index.html,Mystery,The Past Never Ends,0.9365223717715533,26.0
A Murder in Time,16.64,1,1,https://books.toscrape.com/media/cache/11/aa/11aaad48b5f15e262456ca65294084da.jpg,https://books.toscrape.com/catalogue/a-murder-in-time_877/index.html,Mystery,A Murder in Time,0.21153146598763187,26.0
The Murder of Roger Ackroyd (Hercule Poirot #4),44.1,1,4,https://books.toscrape.com/media/cache/29/fe/29fe70b1b2e5a9ba61d4bd331255e19e.jpg,https://books.toscrape.com/catalogue/the-murder-of-roger-ackroyd-hercule-poirot-4_852/index.html,Mystery,The Murder of Roger Ackroyd (Hercule Poirot #4),0.7109858130229174,26.0
The Last Mile (Amos Decker #2),54.21,1,2,https://books.toscrape.com/media/cache/37/f1/37f118b4a56d866e1e8b563759d6966c.jpg,https://books.toscrape.com/catalogue/the-last-mile-amos-decker-2_754/index.html,Mystery,The Last Mile (Amos Decker #2),0.8948708621316842,26.0
That Darkness (Gardiner and Renner #1),13.92,1,1,https://books.toscrape.com/media/cache/44/9e/449ed681142bc336646abee754e96639.jpg,https://books.toscrape.com/catalogue/that-darkness-gardiner-and-renner-1_743/index.html,Mystery,That Darkness (Gardiner and Renner #1),0.16205893052018916,26.0
Tastes Like Fear (DI Marnie Rome #3),10.69,1,1,https://books.toscrape.com/media/cache/3c/91/3c91d97266bd6dda322089695fb46daf.jpg,https://books.toscrape.com/catalogue/tastes-like-fear-di-marnie-rome-3_742/index.html,Mystery,Tastes Like Fear (DI Marnie Rome #3),0.10331029465260093,26.0
A Time of Torment (Charlie Parker #14),48.35,1,5,https://books.toscrape.com/media/cache/e8/c0/e8c0ba15066bab950ae161fd60949b9a.jpg,https://books.toscrape.com/catalogue/a-time-of-torment-charlie-parker-14_657/index.html,Mystery,A Time of Torment (Charlie Parker #14),0.7882866496907966,26.0
A Study in Scarlet (Sherlock Holmes #1),16.73,1,2,https://books.toscrape.com/media/cache/8f/a4/8fa41d6caa10e427356b8a590eb4d96b.jpg,https://books.toscrape.com/catalogue/a-study-in-scarlet-sherlock-holmes-1_656/index.html,Mystery,A Study in Scarlet (Sherlock Holmes #1),0.21316842488177518,26.0
Poisonous (Max Revere Novels #3),26.8,1,3,https://books.toscrape.com/media/cache/23/52/2352718971d5e166fa9541a5a7d716fa.jpg,https://books.toscrape.com/catalogue/poisonous-max-revere-novels-3_627/index.html,Mystery,Poisonous (Max Revere Novels #3),0.39632593670425603,26.0
Murder at the 42nd Street Library (Raymond Ambler #1),54.36,1,4,https://books.toscrape.com/media/cache/c3/8d/c38d65cd155b67ca025f0655bd1bb095.jpg,https://books.toscrape.com/catalogue/murder-at-the-42nd-street-library-raymond-ambler-1_624/index.html,Mystery,Murder at the 42nd Street Library (Raymond Ambler #1),0.8975991269552565,26.0
Most Wanted,35.28,1,3,https://books.toscrape.com/media/cache/8b/bc/8bbc5ab4c3784b4d9b93eb0fd1fb6fd6.jpg,https://books.toscrape.com/catalogue/most-wanted_623/index.html,Mystery,Most Wanted,0.5505638413968716,26.0
Hide Away (Eve Duncan #20),11.84,1,1,https://books.toscrape.com/media/cache/57/07/5707c3d5d4fd44d943d51730ba7d429a.jpg,https://books.toscrape.com/catalogue/hide-away-eve-duncan-20_620/index.html,Mystery,Hide Away (Eve Duncan #20),0.1242269916333212,26.0
Boar Island (Anna Pigeon #19),59.48,1,3,https://books.toscrape.com/media/cache/d5/81/d58157866ea8f015a8e4c55b23b8c96f.jpg,https://books.toscrape.com/catalogue/boar-island-anna-pigeon-19_613/index.html,Mystery,Boar Island (Anna Pigeon #19),0.9907238995998544,26.0
The Widow,27.26,1,2,https://books.toscrape.com/media/cache/fd/71/fd71fb07247bf911505a351c0670c6dc.jpg,https://books.toscrape.com/catalogue/the-widow_609/index.html,Mystery,The Widow,0.4046926154965442,26.0
Playing with Fire,13.71,1,3,https://books.toscrape.com/media/cache/90/0b/900bd2e60d56b6480a4e8eb2dddb46d6.jpg,https://books.toscrape.com/catalogue/playing-with-fire_602/index.html,Mystery,Playing with Fire,0.1582393597671881,26.0
What Happened on Beale Street (Secrets of the South Mysteries #2),25.37,1,5,https://books.toscrape.com/media/cache/c7/ab/c7abb5e32bd37118a87523dcee0a70a6.jpg,https://books.toscrape.com/catalogue/what-happened-on-beale-street-secrets-of-the-south-mysteries-2_506/index.html,Mystery,What Happened on Beale Street (Secrets of the South Mysteries #2),0.3703164787195343,26.0
The Bachelor Girl's Guide to Murder (Herringford and Watts Mysteries #1),52.3,1,5,https://books.toscrape.com/media/cache/95/d7/95d7541679fcbd579b8a4f2b47231aaf.jpg,https://books.toscrape.com/catalogue/the-bachelor-girls-guide-to-murder-herringford-and-watts-mysteries-1_491/index.html,Mystery,The Bachelor Girl's Guide to Murder (Herringford and Watts Mysteries #1),0.8601309567115314,26.0
Delivering the Truth (Quaker Midwife Mystery #1),20.89,1,4,https://books.toscrape.com/media/cache/57/31/5731a5d46c2c1e88977eb5e6d1337a2e.jpg,https://books.toscrape.com/catalogue/delivering-the-truth-quaker-midwife-mystery-1_464/index.html,Mystery,Delivering the Truth (Quaker Midwife Mystery #1),0.2888323026555111,26.0
The Mysterious Affair at Styles (Hercule Poirot #1),24.8,1,4,https://books.toscrape.com/media/cache/32/94/3294e5eaf73a37958583483fc9a90f04.jpg,https://books.toscrape.com/catalogue/the-mysterious-affair-at-styles-hercule-poirot-1_452/index.html,Mystery,The Mysterious Affair at Styles (Hercule Poirot #1),0.35994907238995993,26.0
